#bget master file 
#https://github.com/jahwi/bget

#-----------------------------------------------------
#                     CHANGELOG
#19-JUN-2019: Changed 'dev-tools' category to 'devtools'.
#20-JUN-2019: Added category, last modified, and tags to the delimiter description.
#03-OCT-2019: Added script size to the delimiter description.
#25-OCT-2019: Renamed graphicsmacro to graphics.
#-----------------------------------------------------

#this file is delimited thus:
# [#], [script name] ,[script location (i.e. web address) ] ,[script description], [script's local filename], MD5hash, Author, Category, Last Modified, tags, [script size],
[#],test,https://raw.githubusercontent.com/jahwi/bget-list/master/test.bat,The Bget test file,test.bat,d20e619cbcdc632a9bec34d2cd46cb78,Jahwi,test files,Infinity,testfile,Infinite
[#],brpg,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/brpg/brpg.cab,A very awesome batch RPG.,brpg.cab,c1cb6babfd91c2b751eabfc37f037bbc,Icarus,game,26/01/2019 05:20 PM,adventure,24484
[#],bsnake,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/bsnake/bsnake.bat,Snake game made in batch.,bsnake.bat,c2d6869df907a7fdc1848b3fb329c238,DaveBenham,game,26/01/2019 04:26 PM,slither,27334
[#],buildiconcache,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/buildiconcache/buildiconcache.bat,Rebuilds the icon cache.,buildiconcache.bat,b3acfea0a7c3f9142c7a373d4e0411f0,FreeBooter,utilities,18/07/2019 07:04 PM,buildiconcache,7529
[#],button,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/button/button.cab,[Win10] Natively draw buttons in batch using VT100.,button.cab,5b977d71245108083dd3eef9c90b6717,Icarus,library,10/08/2019 10:50 PM,button,2993
[#],bzip,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/bzip/bzip.cab,Native zip archive making script.,bzip.cab,24a4fe1f74cff1acfb39f20b77d80534,JahwiandGameplayJDK,utilities,26/01/2019 05:21 PM,compress;decompress,1328
[#],cabify,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/cabify/cabify.vbs,[VBS] Compress a file or folder into a .CAB.,cabify.vbs,d34b1f505acf41b3810a4aa793ad99fe,Jahwi,example,26/01/2019 05:07 PM,archive,3491
[#],calendar,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/calendar/calendar.bat,Calendar script capable of various date functions.,calendar.bat,fe7633144b0affd0e1c50817826d9a31,Judago,utilities,26/01/2019 04:20 PM,time,7824
[#],caps,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/caps/caps.bat,Turns a character case in the text.,caps.bat,fbea8af306cd761097df08c96a1e1d6f,Siberia-man,tools,26/02/2019 08:32 PM,caps,2274
[#],cbf,https://codeload.github.com/jonathan-r-jones/Composable-Batch-Files/zip/master,Scalable convention-based and self-documenting batch files that can execute a single function or be strung together like legos to create a whole Millennium Falcon script.,cbf.zip,External-File-No-Hash-Available,JRJones,tools,Nil,cbf,Nil
[#],chmac,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/chmac/chmac.bat,Change the MAC address of network adapters using Batch,chmac.bat,bc044e6faa5529eb403fb20f8743deda,EliasBachaalany,utilities,26/01/2019 04:20 PM,network,14144
