#bget master file 
#https://github.com/jahwi/bget

#-----------------------------------------------------
#                     CHANGELOG
#19-JUN-2019: Changed 'dev-tools' category to 'devtools'.
#20-JUN-2019: Added category, last modified, and tags to the delimiter description.
#03-OCT-2019: Added script size to the delimiter description.
#25-OCT-2019: Renamed graphicsmacro to graphics.
#-----------------------------------------------------

#this file is delimited thus:
# [#], [script name] ,[script location (i.e. web address) ] ,[script description], [script's local filename], MD5hash, Author, Category, Last Modified, tags, [script size],
[#],test,https://raw.githubusercontent.com/jahwi/bget-list/master/test.bat,The Bget test file,test.bat,d20e619cbcdc632a9bec34d2cd46cb78,Jahwi,test files,Infinity,testfile,Infinite
[#],totalwar,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/totalwar/totalwar.bat,Destroy other countries in this Weirdly interesting batch game.,totalwar.bat,2aac053dada39f70e5e137982a6ecdcf,VincentAllain,game,24/01/2019 09:40 PM,totalwar,16336
[#],touch,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/touch/touch.bat,Batch version of the Linux touch command that creates empty files.,touch.bat,059c11144b7de17c94fa46ef54944cf4,aziascreations,tools,24/01/2019 09:41 PM,touch,340
[#],tsconvert,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/tsconvert/tsconvert.cab,Timestamp converter.,tsconvert.cab,2bffec0d00a7ef4af978f1e70e06dd78,Siberia-man,tools,28/02/2019 04:18 PM,tsconvert,15922
[#],ttt,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/ttt/ttt.bat,Tic-tac-toe game.,ttt.bat,22f5bc2b4e7a589cbb42dfa994c4787a,MacfromOK,game,24/01/2019 09:41 PM,ttt,11869
[#],turtlemacro,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/turtlemacro/turtlemacro.bat,Macro emulating Turtle Graphics and Logo programming.,turtlemacro.bat,56bafbb20bef87a04ad8cffa730dd6c8,Icarus,library,25/02/2019 08:48 PM,turtlemacro,3543
[#],tutorials,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/tutorials/tutorials.cab,Rudimentary batch tutorials for beginners.,tutorials.cab,8e7a7bd5ccaa137ce0ef8d2d549cb2a3,Icarus,example,05/12/2018 06:16 AM,tutorials,3978
[#],txt2html,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/txt2html/txt2html.bat,Convert a text file with special format into a HTML encoded file,txt2html.bat,8c4af7d677c8c8c22a26b1a500f5d65b,Aacini,library,24/01/2019 09:41 PM,txt2html,46049
[#],txteditor,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/txteditor/txteditor.bat,Crude text editor in batch.,txteditor.bat,2aa95d0626e9b30a660f45c69ff18205,Jahwi,example,26/01/2019 05:04 PM,notepad,435
[#],txttospeech,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/txttospeech/txttospeech.bat,Simple text-to-speech,txttospeech.bat,b5085694e95ea62ff80ba4a71f807b6f,Jahwi,utilities,26/01/2019 05:03 PM,voice;aloud;read,842
[#],unlimparam,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/unlimparam/unlimparam.bat,Use unlimited parameters.,unlimparam.bat,9dbe037469f01be767c567f0e6e876bd,Lucas,example,24/01/2019 09:44 PM,unlimparam,709
[#],uptime,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/uptime/uptime.bat,returns system uptime,uptime.bat,bf5df7fda1e4c799eae9c036ed464a46,JaCk,tools,26/01/2019 05:02 PM,awake,10642
[#],userrecon,https://codeload.github.com/hXR16F/userrecon-win/zip/master,UserRecon for Windows - Find usernames across over 75 social networks.,userrecon.zip,External-File-No-Hash-Available,hXR16F,tools,Nil,userrecon,Nil
[#],utils-examples,https://codeload.github.com/npocmaka/batch.scripts/zip/master,A collection of batch utilities and examples,utils-examples.zip,External-File-No-Hash-Available,npocmaka,utilities,Nil,utils-examples,Nil
[#],vdrive,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/vdrive/vdrive.bat,Create edit and remove virtual drives.,vdrive.bat,d8214d96b526b07a965dbc107591cd39,SmartGenius,utilities,26/01/2019 05:01 PM,vdrive,6666
[#],viboras,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/viboras/viboras.cab,local multiplayer snake game.,viboras.cab,7c600cdfd2a8dfe59fc3b5c0e3a48a15,Aacini,game,26/01/2019 05:23 PM,network,53013
[#],viewpoint,https://codeload.github.com/Honguito98/batch-game-viewpoint/zip/master,90s style batch game.,viewpoint.zip,External-File-No-Hash-Available,Honguito98,game,Nil,viewpoint,Nil
[#],vsportable,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/devtools/vsportable/vsportable.cab,Make your Visual Studio Portable.,vsportable.cab,a114191ae79f0bd1957a88da834faf64,Leandros,devtools,11/08/2019 01:04 PM,vsportable,3585
[#],w10key,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/w10key/w10key.bat,Find Built in Windows 10 Key then Set Key and Activate.,w10key.bat,9e1ec0b33f0d30b53c16b689bebb6d60,Rbley,utilities,26/01/2019 05:01 PM,code,596
[#],wargame,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/wargame/wargame.cab,War game in batch.,wargame.cab,ba0f6dd6b0fc82f874ea90acfe692498,TechGameTeddy,game,02/12/2018 07:14 AM,wargame,2713
[#],wc,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/wc/wc.bat,Print line; word; and byte counts for specified files.,wc.bat,11aa7c26eb2cc7957fbfc828ffd1596f,Siberia-man,tools,26/02/2019 08:33 PM,wc,3254
[#],webdav,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/webdav/webdav.cab,Batch file to map your Android phone as network drive in Windows.,webdav.cab,9ed3973ed4622d52630d02f812e1c14d,akaleeroy,utilities,06/12/2018 04:53 AM,webdav,25199
[#],when,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/when/when.bat,This script extends conditionals in Windows batch scenarios.,when.bat,c4ecdd0683cb1a04bc4c9eb0473b5fb2,Siberia-man,tools,26/02/2019 08:33 PM,when,13362
[#],which,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/which/which.bat,Simulation of the Linux which command.,which.bat,ab86561edebc687f19f544dfced5fd00,mrkskwsnck,tools,24/01/2019 09:45 PM,which,1143
[#],wifirec,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/wifirec/wifirec.bat,List all wireless network credentials on the local machine.,wifirec.bat,f29fdba62335cc44b07261084e5ae286,b00st3d,utilities,26/01/2019 04:59 PM,password;key,2199
[#],win10colour,https://codeload.github.com/ITCMD/BatchColor/zip/master,Display colored text in Windows 10+ batch files,win10colour.zip,External-File-No-Hash-Available,Lucas,tools,Nil,win10colour,Nil
[#],word2pdf,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/word2pdf/word2pdf.cab,Natively convert Word/Excel/PPT docs to PDFs.,word2pdf.cab,9da967d70a2a2cd53264893d49199564,StephenMillard,utilities,20/12/2018 08:29 PM,word2pdf,2538
[#],wscmd,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/wscmd/wscmd.cab,Provides a console mode for the Windows Script Host.,wscmd.cab,3109f548994cecd522713c36eed6a439,Siberia-man,tools,28/02/2019 04:20 PM,wscmd,13044
[#],wsfm,https://codeload.github.com/ManuelGil/File-Manager/zip/master,Create backups update files or extract specific files from a web application using Windows Server as a platform.,wsfm.zip,External-File-No-Hash-Available,MFGil,tools,Nil,wsfm,Nil
[#],wureset,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/wureset/wureset.cab,This Script allows you reset the Windows Update Agent resolving issues with Windows Update.,wureset.cab,25bdb041143cdbe117329e391f404412,MFGil,utilities,27/12/2018 01:18 AM,wureset,7153
[#],xorcrypt,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/xorcrypt/xorcrypt.bat,XOR encryption example.,xorcrypt.bat,8ca67053ac383c4d5cbe855b3c9e53f8,Meerkat,example,24/01/2019 09:45 PM,xorcrypt,4278
[#],yahtzee,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/yahtzee/yahtzee.bat,YAHTZEE in batch.,yahtzee.bat,5af9f4b419efe54b70ff0abc6208769b,aGerman,game,24/01/2019 09:45 PM,yahtzee,14245
[#],ytdown,https://codeload.github.com/Lettly/Youtube-Download-Batch/zip/master,Download videos from Youtube,ytdown.zip,External-File-No-Hash-Available,Lettly,utilities,Nil,ytdown,Nil
[#],ziggurat,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/ziggurat/ziggurat.cab,Don the robes of the high priest and defend your people against various monsters.,ziggurat.cab,83b3f8a96f35b4cdac75da7f63ba0157,Lowsun,game,06/04/2019 10:16 PM,ziggurat,14246819
[#],zline,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/zline/zline.bat,graphical zombie shooter feat Bario.[Win10 Only],zline.bat,75b8f8800f4da8bd65a19a52d2a14940,Icarus,game,24/01/2019 09:45 PM,zline,11988
